customer_id,age,monthly_spend,orders_per_year,app_sessions_month,months_customer,satisfaction,support_tickets,churned
30001,34,46.76,14,6,44,5,2,0
30002,25,21.03,5,4,46,2,1,1
30003,39,93.14,17,15,27,7,3,0
30004,48,77.49,26,24,45,4,3,0
30005,35,48.56,12,13,3,9,1,1
30006,38,86.2,17,23,36,8,0,0
30007,46,45.78,7,8,8,9,3,0
30008,42,79.02,21,14,33,6,2,0
30009,23,43.62,12,10,36,9,2,0
30010,43,53.72,8,12,29,6,3,0
30011,18,31.56,13,7,12,8,2,0
30012,52,18.34,4,4,27,5,2,0
30013,68,17.55,1,3,35,7,1,0
30014,41,40.18,17,7,30,8,0,0
30015,35,45.56,8,6,28,7,0,0
30016,18,47.53,11,8,31,8,0,0
30017,41,76.25,19,21,31,7,0,0
30018,36,97.6,24,20,30,8,0,0
30019,29,20.44,3,2,28,5,1,1
30020,18,47.48,11,10,40,9,0,0
30021,35,38.3,12,10,7,6,1,0
30022,36,21.26,1,6,45,6,0,0
30023,38,42.87,14,10,46,7,2,0
30024,20,52.17,10,12,38,7,0,0
30025,53,20.26,8,1,45,7,0,0
30026,25,50.83,12,6,35,8,0,0
30027,68,65.23,15,18,40,10,0,0
30028,30,57.46,17,12,15,9,2,0
30029,21,91.92,15,29,23,5,0,0
30030,50,36.72,16,9,22,9,0,0
30031,41,33.69,8,5,22,6,4,0
30032,33,43.35,11,8,13,3,2,1
30033,49,40.4,8,10,31,10,1,0
30034,22,12.5,8,9,1,7,0,1
30035,29,48.01,6,10,5,8,1,1
30036,38,38.77,8,11,48,4,1,1
30037,29,22.53,3,4,31,8,0,0
30038,34,47.2,12,11,29,4,0,0
30039,33,39.99,10,13,33,6,0,0
30040,58,44.37,18,7,36,6,0,0
30041,29,47.86,7,11,7,4,2,0
30042,40,14.24,3,3,12,4,1,1
30043,32,50.41,9,10,44,7,0,0
30044,34,35.9,6,8,38,7,0,0
30045,22,19.36,4,2,44,7,1,0
30046,61,71.82,20,24,38,6,0,0
30047,45,42.43,9,9,30,8,0,0
30048,47,39.95,17,5,34,6,1,0
30049,30,40.0,11,8,41,7,1,0
30050,34,79.71,16,19,39,6,0,0
30051,18,22.86,5,1,22,8,1,0
30052,30,60.67,10,19,28,7,1,0
30053,58,14.37,4,3,48,7,1,1
30054,40,21.02,5,5,15,6,1,0
30055,41,40.74,9,7,21,9,1,0
