customer_id,months_subscribed,avg_monthly_spend,app_user,support_tickets,upgraded_premium
20001,7,41.31,0,0,0
20002,24,8.57,1,1,0
20003,5,29.48,1,2,0
20004,10,46.61,1,1,1
20005,6,83.54,0,0,0
20006,15,21.98,0,0,0
20007,33,32.12,0,3,0
20008,13,52.56,0,0,0
20009,3,53.23,0,0,1
20010,7,66.54,1,1,1
20011,30,39.37,0,1,1
20012,10,44.15,0,2,0
20013,19,43.12,0,2,0
20014,30,60.57,0,0,1
20015,19,31.59,1,1,0
20016,19,18.3,1,1,0
20017,31,19.18,0,1,0
20018,29,29.93,0,0,0
20019,13,32.5,1,1,1
20020,30,40.71,1,3,0
20021,30,19.14,1,2,0
20022,21,33.07,1,1,1
20023,2,44.9,1,0,0
20024,29,56.38,0,1,1
20025,13,50.31,0,0,0
20026,9,39.2,0,1,0
20027,31,42.64,1,0,1
20028,21,58.39,0,2,0
20029,30,59.87,0,4,0
20030,18,52.19,0,1,0
20031,24,38.28,0,1,1
20032,2,62.03,0,4,0
20033,11,44.28,1,2,0
20034,11,58.25,0,3,0
20035,17,16.55,0,0,0
20036,10,28.4,1,1,0
20037,13,44.91,0,1,0
20038,33,38.72,1,3,0
20039,26,35.88,0,0,1
20040,9,60.4,0,0,0
20041,32,22.08,0,1,1
20042,23,70.65,0,2,0
20043,14,36.44,0,2,0
20044,20,47.84,1,0,1
20045,35,49.2,0,1,0
20046,27,30.81,1,2,1
20047,22,52.1,0,0,0
20048,21,21.36,0,1,0
20049,7,38.94,1,0,1
20050,12,53.46,1,4,0
20051,23,13.63,1,2,0
20052,11,58.28,1,1,0
20053,2,49.58,1,0,0
20054,35,39.85,1,1,1
20055,6,15.35,1,0,0
20056,28,22.87,1,0,0
20057,4,43.07,1,1,1
20058,24,26.34,0,0,0
20059,26,46.24,0,1,0
20060,7,75.31,1,3,1
20061,9,46.86,0,2,0
20062,32,57.01,1,1,0
20063,8,31.78,1,0,0
20064,5,37.65,0,0,0
20065,32,47.41,1,2,1
20066,35,46.79,1,2,0
20067,22,54.11,0,0,0
20068,35,31.07,1,2,1
20069,24,40.05,1,0,1
20070,33,20.7,1,1,0
20071,6,48.03,1,0,1
20072,20,23.98,0,1,0
20073,34,38.26,0,2,1
20074,10,40.66,1,1,0
20075,15,34.17,0,0,0
20076,5,49.82,0,0,0
20077,16,41.91,0,4,0
20078,27,53.69,0,1,0
20079,20,35.4,1,2,0
20080,13,45.52,0,1,0
20081,33,41.0,1,1,1
20082,35,59.44,0,2,0
20083,9,63.25,0,0,0
20084,2,53.24,1,2,0
20085,6,39.58,0,1,0
20086,27,8.0,1,2,0
20087,19,36.92,0,1,0
20088,22,32.99,1,0,1
20089,26,31.42,1,0,0
20090,16,10.42,0,1,0
20091,18,43.05,1,0,0
20092,5,30.29,0,2,0
20093,31,59.75,0,1,0
20094,7,39.32,0,0,0
20095,33,34.79,1,0,1
20096,31,45.98,0,1,0
20097,16,44.6,0,3,0
20098,8,39.72,0,1,0
20099,25,39.39,0,1,0
20100,33,32.7,1,1,1
20101,11,44.41,1,0,0
20102,7,53.51,0,0,0
20103,33,40.03,0,1,0
20104,17,28.34,1,0,0
20105,35,55.51,0,1,0
20106,2,34.36,1,1,0
20107,34,48.91,1,1,1
20108,21,55.65,1,2,0
20109,30,43.96,0,1,1
20110,13,54.1,0,1,1
20111,29,65.48,1,2,1
20112,13,41.45,0,2,1
20113,24,39.87,1,1,0
20114,33,21.75,1,0,1
20115,21,35.5,0,1,1
20116,21,29.23,1,0,0
20117,24,43.5,1,1,0
20118,27,50.69,1,0,1
20119,6,46.18,0,2,0
20120,16,62.56,1,3,1
20121,9,23.87,1,1,1
20122,8,39.25,0,1,0
20123,3,57.57,1,1,1
20124,25,45.61,0,1,0
20125,6,34.51,1,3,0
20126,19,32.64,0,0,0
20127,6,55.84,1,0,1
20128,7,51.09,1,1,0
20129,30,27.24,0,0,0
20130,12,29.56,1,0,0
20131,29,28.39,1,0,1
20132,6,37.62,0,1,0
20133,27,45.95,0,1,0
20134,12,43.91,1,2,0
20135,36,37.85,0,0,1
20136,15,9.31,0,0,0
20137,33,41.87,1,0,0
20138,17,20.75,1,2,0
20139,20,44.19,1,1,1
20140,18,63.29,1,1,1
20141,5,61.74,0,2,1
20142,14,27.06,1,3,0
20143,21,37.33,1,1,0
20144,19,20.8,0,0,1
20145,32,56.34,0,1,1
20146,15,46.36,0,0,1
20147,30,59.0,1,1,1
20148,2,20.88,1,1,0
20149,3,34.42,0,1,0
20150,3,52.51,1,1,1
20151,22,33.45,1,1,0
20152,35,32.43,1,0,1
20153,10,28.42,1,3,0
20154,23,57.22,0,0,0
20155,3,47.48,1,2,0
20156,8,47.58,1,1,0
20157,17,18.87,1,2,0
20158,1,18.73,0,0,0
20159,5,29.01,1,3,1
20160,15,55.34,1,0,1
20161,24,42.33,0,0,0
20162,8,34.63,1,1,1
20163,16,38.51,1,1,0
20164,9,74.05,1,1,0
20165,22,58.9,0,1,0
20166,10,54.25,1,2,0
20167,15,73.68,1,2,1
20168,17,13.41,1,2,0
20169,28,37.6,1,2,1
20170,25,28.25,1,3,0
20171,12,40.7,1,0,1
20172,2,53.03,1,0,1
20173,33,26.43,1,0,0
20174,3,51.21,1,0,0
20175,7,44.52,1,1,0
20176,36,63.16,1,0,0
20177,9,27.29,1,0,0
20178,10,56.7,0,1,0
20179,26,39.09,1,0,1
20180,19,58.71,1,0,1
20181,10,22.56,0,1,0
20182,34,57.99,0,0,0
20183,14,62.05,1,2,0
20184,34,45.3,1,3,0
20185,19,11.23,0,1,0
20186,21,35.91,0,2,0
20187,24,41.26,0,0,0
20188,19,38.35,1,1,1
20189,5,46.6,1,0,0
20190,15,69.4,1,3,0
20191,9,43.1,1,0,0
20192,8,15.55,1,3,0
20193,22,36.31,0,1,0
20194,21,48.13,0,1,0
20195,26,19.34,1,3,0
20196,36,62.33,0,1,0
20197,9,31.13,1,4,0
20198,14,33.96,1,3,0
20199,20,21.64,1,2,0
20200,12,41.58,1,1,0
20201,35,64.68,1,3,1
20202,32,34.62,0,1,0
20203,10,43.4,0,2,1
20204,10,38.33,1,1,1
20205,33,63.38,1,0,1
20206,33,34.22,1,0,1
20207,5,49.08,1,1,0
20208,34,35.38,0,0,0
20209,18,38.25,0,0,0
20210,26,65.18,0,0,0
20211,22,50.32,1,2,0
20212,5,48.17,0,1,0
20213,10,35.58,1,0,0
20214,13,25.47,0,4,0
20215,4,53.01,1,0,1
20216,1,26.16,0,2,0
20217,18,43.04,0,1,0
20218,20,47.71,1,0,0
20219,34,27.94,0,0,1
20220,32,23.63,0,0,0
20221,28,33.16,1,1,0
20222,24,8.0,0,1,0
20223,13,45.63,1,1,1
20224,20,34.06,1,1,1
20225,13,69.57,1,3,0
20226,22,65.5,1,2,1
20227,11,8.0,1,0,0
20228,10,49.63,1,0,0
20229,3,17.48,0,0,0
20230,2,54.08,1,1,0
20231,22,43.77,1,0,1
20232,16,25.55,1,0,0
20233,34,62.44,0,1,0
20234,10,40.67,0,1,0
20235,13,22.0,0,0,0
20236,5,52.2,0,1,0
20237,24,53.31,1,2,0
20238,13,44.77,1,1,0
20239,26,24.63,0,1,0
20240,9,52.81,1,2,0
20241,31,49.02,1,2,1
20242,9,37.3,0,2,0
20243,20,48.01,1,2,0
20244,33,52.35,1,1,1
20245,19,63.43,1,1,0
20246,21,44.18,0,0,1
20247,5,66.76,1,2,0
20248,2,41.11,0,0,0
20249,15,48.11,1,0,0
20250,2,46.75,0,1,0
20251,26,8.0,0,1,0
20252,5,45.16,1,0,0
20253,34,31.19,0,1,1
20254,16,47.9,0,1,0
20255,32,56.98,0,1,1
20256,12,43.03,1,2,0
20257,34,34.9,0,2,0
20258,28,44.47,0,1,0
20259,11,35.63,0,0,0
20260,7,50.65,0,1,0
20261,26,59.35,1,1,0
20262,16,37.9,0,0,0
20263,21,77.33,0,3,0
20264,15,48.87,0,0,0
20265,26,30.71,0,1,0
20266,18,56.42,0,2,0
20267,12,38.41,1,0,0
20268,19,68.46,0,0,0
20269,18,41.85,1,1,0
20270,24,47.63,1,2,0
20271,13,54.56,1,3,0
20272,11,20.5,1,1,0
20273,25,42.8,1,0,1
20274,21,58.28,1,0,0
20275,22,59.13,1,1,0
20276,14,31.1,0,0,0
20277,28,42.7,0,1,0
20278,10,19.35,1,0,1
20279,5,18.55,0,0,0
20280,9,46.46,0,2,0
20281,12,33.28,0,2,0
20282,15,14.59,0,0,0
20283,4,13.29,0,0,0
20284,11,42.75,1,2,0
20285,15,33.32,1,1,0
20286,22,38.19,1,2,0
20287,8,38.22,0,0,0
20288,14,18.9,1,0,0
20289,32,38.15,1,1,1
20290,16,45.16,1,1,1
20291,18,34.62,0,2,0
20292,22,54.29,0,1,1
20293,24,65.23,1,3,1
20294,7,37.06,0,0,0
20295,11,25.95,0,1,0
20296,25,38.46,0,2,0
20297,14,42.37,1,1,1
20298,28,9.01,0,2,0
20299,28,38.09,1,0,1
20300,18,42.87,0,1,0
20301,21,26.43,0,1,0
20302,30,43.62,1,2,0
20303,33,40.54,1,4,1
20304,28,43.47,0,0,0
20305,20,62.39,1,2,0
20306,31,48.17,0,1,1
20307,4,46.69,1,5,0
20308,20,58.4,1,1,1
20309,22,57.3,0,4,0
20310,31,48.65,0,1,1
20311,9,27.32,0,0,0
20312,13,45.97,0,2,0
20313,36,36.35,0,0,0
20314,24,52.96,0,1,0
20315,7,14.3,0,1,0
20316,16,48.37,1,1,0
20317,29,29.54,1,1,0
20318,29,36.14,1,2,1
20319,5,44.93,0,3,0
20320,23,44.94,0,0,0
20321,25,28.22,1,2,0
20322,18,8.0,1,1,0
20323,23,19.31,1,1,0
20324,6,30.18,1,1,0
20325,26,46.75,1,1,1
20326,25,29.88,1,1,0
20327,34,23.29,0,0,0
20328,13,34.85,0,2,0
20329,35,35.8,0,0,0
20330,30,26.63,1,2,0
20331,19,62.34,0,1,0
20332,10,39.7,0,3,0
20333,22,20.03,0,1,0
20334,33,32.34,0,1,1
20335,22,40.49,1,0,1
20336,11,56.4,1,0,1
20337,8,17.5,1,3,0
20338,17,60.34,1,0,0
20339,11,53.66,1,2,0
20340,29,37.73,1,3,0
20341,5,36.56,1,0,0
20342,15,25.22,1,2,0
20343,22,13.25,0,0,0
20344,34,34.88,0,1,0
20345,14,70.28,0,0,0
20346,33,27.78,1,3,0
20347,13,62.01,0,2,0
20348,36,19.58,1,0,0
20349,4,24.17,1,1,0
20350,6,54.48,0,0,0
20351,20,43.17,0,0,0
20352,1,42.48,0,0,0
20353,10,24.08,1,1,0
20354,16,40.92,1,0,1
20355,34,49.88,1,1,1
20356,6,67.83,1,0,1
20357,4,35.8,1,0,0
20358,32,59.93,0,0,0
20359,21,66.14,0,0,1
20360,20,18.68,0,3,0
20361,21,55.68,0,1,1
20362,22,59.93,0,0,0
20363,5,69.42,1,0,1
20364,12,33.31,0,2,0
20365,21,34.94,1,1,0
20366,36,8.0,1,3,0
20367,18,70.61,0,2,0
20368,19,36.8,1,2,1
20369,23,31.4,1,1,0
20370,13,30.58,1,1,1
20371,2,41.24,1,2,0
20372,36,51.65,0,1,1
20373,5,40.07,0,3,0
20374,36,35.46,1,1,1
20375,32,39.2,0,1,0
20376,10,47.43,1,1,0
20377,18,71.65,1,1,1
20378,18,15.82,0,1,0
20379,24,45.21,1,2,1
20380,22,50.39,0,1,0
20381,21,50.87,0,1,0
20382,10,34.04,0,1,1
20383,19,35.55,1,2,0
20384,25,37.11,0,2,0
20385,35,66.43,0,0,1
20386,28,48.57,1,0,1
20387,26,55.12,1,0,0
20388,31,46.38,0,1,0
20389,33,24.62,1,1,0
20390,13,52.01,1,0,0
20391,8,90.24,1,0,0
20392,13,13.29,0,0,0
20393,10,51.66,1,0,0
20394,7,30.69,0,2,0
20395,24,33.67,1,1,0
20396,25,8.0,0,0,0
20397,23,36.05,0,2,1
20398,34,34.22,0,2,0
20399,20,46.56,0,1,0
20400,28,39.85,1,0,1
20401,17,70.41,1,0,1
20402,35,50.08,0,2,0
20403,3,33.06,0,0,0
20404,25,53.37,1,1,0
20405,4,57.55,1,0,0
20406,22,58.75,0,3,0
20407,29,47.01,1,1,0
20408,17,62.82,1,1,1
20409,25,47.28,0,2,0
20410,17,64.93,1,1,0
20411,9,49.31,1,1,0
20412,29,26.09,1,2,1
20413,14,51.92,1,0,1
20414,36,15.97,0,0,0
20415,1,42.19,0,0,1
20416,16,53.26,1,1,0
20417,27,40.0,0,1,0
20418,20,45.61,0,0,0
20419,15,42.62,0,1,0
20420,3,49.71,1,3,0
20421,9,40.18,0,2,0
20422,6,51.96,0,1,0
20423,12,44.9,1,2,0
20424,28,56.88,1,1,0
20425,36,19.81,0,2,0
20426,17,25.12,1,1,0
20427,35,50.65,1,2,1
20428,17,66.99,1,1,1
20429,26,40.97,1,1,1
20430,5,60.42,1,0,0
20431,35,32.16,0,0,1
20432,14,36.91,0,1,0
20433,30,25.23,0,1,0
20434,22,53.98,0,0,0
20435,18,42.71,1,2,0
20436,26,29.76,1,1,0
20437,25,59.67,1,1,0
20438,26,60.6,0,3,0
20439,27,53.46,1,2,1
20440,15,8.17,1,1,0
20441,6,57.88,0,1,0
20442,7,26.27,0,1,0
20443,4,11.03,0,4,0
20444,9,28.56,0,0,0
20445,15,29.54,1,0,0
20446,32,39.31,1,0,0
20447,28,44.87,1,0,1
20448,27,40.1,0,1,1
20449,21,49.93,1,0,0
20450,22,59.78,1,1,1
20451,25,33.51,0,1,0
20452,14,27.01,1,3,1
20453,8,57.83,1,1,1
20454,28,40.79,0,0,1
20455,25,19.68,0,3,0
20456,10,37.62,1,1,0
20457,25,54.16,1,1,0
20458,31,67.96,1,3,0
20459,21,38.78,1,4,0
20460,7,59.48,0,3,0
20461,28,42.81,1,1,1
20462,11,27.3,0,1,0
20463,35,37.61,1,0,0
20464,35,45.02,0,0,1
20465,34,66.51,1,0,1
20466,5,34.69,1,1,0
20467,19,15.71,0,0,0
20468,30,43.07,0,0,0
20469,29,38.45,0,0,1
20470,35,8.0,0,1,0
20471,15,17.84,0,2,0
20472,35,57.27,1,1,0
20473,21,34.21,0,0,1
20474,36,21.77,0,1,0
20475,7,49.82,0,0,0
20476,2,17.09,1,2,1
20477,32,33.22,0,0,0
20478,32,33.97,0,0,0
20479,25,26.85,0,1,0
20480,21,38.65,1,1,0
20481,18,42.21,1,1,0
20482,24,27.25,1,1,0
20483,26,26.87,1,0,0
20484,21,21.91,1,1,0
20485,26,29.11,1,0,0
20486,8,38.04,1,1,0
20487,19,30.11,0,0,0
20488,8,48.25,0,0,0
20489,18,12.81,1,0,0
20490,32,56.36,1,1,1
20491,22,36.61,0,1,0
20492,1,72.61,1,1,1
20493,7,26.07,0,1,0
20494,35,8.0,0,1,0
20495,10,8.0,1,1,0
20496,33,41.33,1,1,1
20497,3,77.08,0,2,1
20498,33,53.89,0,2,0
20499,16,65.58,0,1,1
20500,2,35.02,1,0,0
20501,26,46.47,1,2,0
20502,23,19.45,1,0,1
20503,4,8.0,1,0,0
20504,35,44.17,1,3,1
20505,4,28.08,0,0,1
20506,29,43.61,0,0,1
20507,36,44.97,1,4,0
20508,34,59.49,1,0,1
20509,26,19.65,1,3,0
20510,29,44.41,1,1,0
20511,20,8.0,1,2,0
20512,9,32.02,1,2,0
20513,13,63.83,1,2,0
20514,4,22.87,1,2,0
20515,11,56.74,0,2,0
20516,2,33.67,1,1,1
20517,4,32.27,1,1,0
20518,23,26.2,1,0,0
20519,17,52.88,1,1,0
20520,35,20.07,0,1,0
20521,16,42.41,1,2,0
20522,14,27.19,0,3,0
20523,30,8.0,1,0,0
20524,8,45.89,1,1,0
20525,7,36.45,1,1,0
20526,16,64.82,0,1,0
20527,4,50.61,1,2,1
20528,13,25.54,0,2,0
20529,1,19.41,0,2,0
20530,13,41.89,0,1,0
20531,18,36.32,1,3,1
20532,17,39.65,0,2,0
20533,20,26.95,0,1,0
20534,21,60.47,1,0,1
20535,25,30.49,1,1,0
20536,24,55.14,0,4,1
20537,20,32.52,0,1,0
20538,31,19.31,0,1,0
20539,9,29.25,0,1,0
20540,23,43.56,1,1,1
20541,20,40.53,1,0,0
20542,19,31.55,0,0,0
20543,5,23.26,0,0,0
20544,25,33.61,0,1,1
20545,23,41.23,1,3,0
20546,26,55.33,0,2,0
20547,13,31.04,1,2,0
20548,3,43.41,0,1,0
20549,13,46.55,1,0,0
20550,4,40.24,0,2,0
20551,10,45.35,1,0,0
20552,20,56.97,1,1,0
20553,32,50.61,1,0,1
20554,9,27.23,1,1,0
20555,21,54.1,0,3,0
20556,11,44.92,0,3,0
20557,11,45.19,1,1,0
20558,2,62.16,0,1,0
20559,11,40.93,0,2,0
20560,4,40.22,1,0,0
20561,28,29.05,0,0,0
20562,11,39.89,1,3,0
20563,35,42.3,1,0,1
20564,6,33.64,0,2,0
20565,25,54.95,1,1,1
20566,15,41.47,0,1,0
20567,30,49.55,0,3,0
20568,35,32.91,0,0,0
20569,13,55.44,1,0,1
20570,29,57.57,1,3,1
20571,20,51.67,1,1,0
20572,28,28.64,1,1,0
20573,23,58.11,0,2,0
20574,29,59.7,0,0,1
20575,13,51.65,0,0,1
20576,3,62.45,0,0,0
20577,27,31.02,0,0,0
20578,9,31.12,1,1,0
20579,27,46.19,0,2,0
20580,11,50.02,1,0,1
20581,36,53.69,0,1,0
20582,8,65.49,1,4,1
20583,14,33.89,1,3,0
20584,6,52.79,1,1,0
20585,17,40.47,1,2,0
20586,4,45.1,1,0,0
20587,22,51.06,1,1,1
20588,18,77.45,0,2,0
20589,14,46.47,0,0,0
20590,31,36.38,1,0,1
20591,6,41.88,0,0,0
20592,8,50.41,0,2,0
20593,25,43.3,1,1,0
20594,30,53.75,0,3,0
20595,11,50.38,1,2,1
20596,23,57.7,1,2,0
20597,17,30.99,0,1,0
20598,4,32.91,0,0,0
20599,25,45.06,1,0,1
20600,21,56.51,0,0,1
20601,3,28.39,1,0,1
20602,17,66.41,0,1,1
20603,17,45.54,0,1,0
20604,7,57.2,0,0,0
20605,30,37.03,1,1,0
20606,3,31.97,0,3,0
20607,27,46.04,0,1,0
20608,28,40.85,1,2,1
20609,16,28.79,0,2,0
20610,12,28.23,0,1,1
20611,21,39.97,1,1,0
20612,14,58.41,0,0,0
20613,34,43.08,0,2,0
20614,28,22.69,1,1,0
20615,32,31.66,1,1,0
20616,25,56.05,1,2,1
20617,21,16.73,1,3,0
20618,27,37.53,0,0,1
20619,25,43.41,1,1,0
20620,34,36.73,1,3,1
20621,33,51.69,0,0,0
20622,35,41.64,0,2,0
20623,13,54.83,1,0,0
20624,31,36.18,0,1,0
20625,23,24.55,0,1,0
20626,33,57.57,1,0,1
20627,35,46.06,0,0,1
20628,6,42.03,0,2,0
20629,14,65.87,1,0,0
20630,11,62.43,1,2,0
20631,35,46.68,1,0,1
20632,29,19.92,1,1,0
20633,15,65.78,1,1,1
20634,30,54.59,1,0,1
20635,17,54.2,1,0,1
20636,12,28.83,1,2,0
20637,29,58.35,1,0,1
